Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att2,Launch%3,AvgLen4,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,MP,Starts,Min,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,Pkatt,PKsv,PKm,Save%2,Gls,Ast,G+A,G-PK,PK,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls2,Ast3,G+A4,G-PK5,G+A-PK,xG6,xAG7,xG+xAG,npxG8,npxG+xAG9
Nikita Contini Baranovsky,ITA,GK,Napoli,Serie A,27,1996,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,17,1,0,15,1,0,0,3,15.88,37,1,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benoît Costil,FRA,GK,Salernitana,Serie A,36,1987,13,29,3,0,2,1,23.6,0.32,-4.4,-0.34,71,228,31.1,323,45,48,37,104,70.2,51.1,212,2,0.9,19,1.46,18.2,13,13,1170,2.23,66,38,60.6,2,3,8,1,7.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grégoire Coudert,FRA,GK,Brest,Ligue 1,24,1999,2,0,0,0,0,0,0.3,0.07,0.3,0.13,12,36,33.3,70,10,41.4,37.2,10,70,55.4,24,0,0,2,0.99,23,3,2,181,0,4,4,100,2,0,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thibaut Courtois,BEL,GK,Real Madrid,La Liga,31,1992,3.7,0,0,0,0,0,3.1,0.22,3.1,0.85,10,19,52.6,105,25,16.2,26.7,18,11.1,27.8,47,2,4.3,5,1.36,15.3,4,4,332,0,15,15,100,3,1,0,3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03
Alessio Cragno,ITA,GK,Sassuolo,Serie A,29,1994,3,7,1,1,1,1,5.1,0.3,-0.9,-0.28,17,45,37.8,78,11,50,37.8,22,27.3,30.5,37,3,8.1,8,2.67,18.6,3,3,270,2.33,14,8,57.1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristian,ESP,GK,Valencia,La Liga,25,1998,0.6,1,0,0,1,0,0.5,0.17,-0.5,-0.75,2,5,40,15,4,26.7,29.1,3,33.3,32.7,12,0,0,0,0,8.3,1,0,57,1.58,3,2,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iván Cuéllar,ESP,GK,Mallorca,La Liga,39,1984,1,1,0,0,0,0,1.2,0.19,0.2,0.17,1,11,9.1,32,8,31.3,33,3,33.3,35.7,6,1,16.7,0,0,7,1,1,90,1,6,5,83.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finn Dahmen,GER,GK,Augsburg,Bundesliga,25,1998,31,52,7,0,10,2,49.3,0.26,-0.7,-0.02,169,450,37.6,1151,92,30.8,32.4,187,51.3,44.3,484,28,5.8,50,1.61,15,31,31,2790,1.68,158,106,71.5,10,9,12,3,9.7,10,2,1,22.2,0,0,0,0,0,4,0,0,0,0.1,0.1,0,3,0,0,0,0,0,0,0,0,0,0,0
Rémy Descamps,FRA,GK,Nantes,Ligue 1,27,1996,6,11,1,0,0,0,12.5,0.35,1.5,0.26,51,125,40.8,141,28,51.1,40.3,71,74.6,49.8,116,8,6.9,0,0,7.8,6,6,540,1.83,37,26,73,2,2,2,1,16.7,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthur Desmas,FRA,GK,Le Havre,Ligue 1,29,1994,33,43,1,0,5,2,47,0.3,6,0.18,155,454,34.1,719,135,46.9,37.1,222,52.7,39.1,470,32,6.8,24,0.73,12.5,33,33,2970,1.3,153,111,72.5,7,11,15,7,21.2,3,1,1,50,0,0,0,0,0,2,0,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Raffaele Di Gennaro,ITA,GK,Inter,Serie A,29,1993,0.3,0,0,0,0,0,0.5,0.13,0.5,2.08,1,2,50,15,3,13.3,25.2,1,0,10,4,0,0,0,0,0,1,0,23,0,4,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michele Di Gregorio,ITA,GK,Monza,Serie A,26,1997,31.9,35,3,1,5,0,45.4,0.26,10.4,0.33,179,430,41.6,1126,201,27.8,30.6,223,52.5,44.2,469,19,4.1,18,0.56,11.5,33,33,2872,1.1,159,122,79.9,11,11,11,12,36.4,5,2,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mory Diaw,SEN,GK,Clermont Foot,Ligue 1,30,1993,30,54,6,0,5,1,57.1,0.28,4.1,0.14,206,558,36.9,1065,129,42.8,36.7,176,58,44.5,439,39,8.9,46,1.53,14.4,30,30,2700,1.8,188,134,74.5,4,8,18,5,16.7,8,1,1,14.3,0,0,0,0,0,3,0,0,0,0.1,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0
Guillaume Dietsch,FRA,GK,Metz,Ligue 1,22,2001,0.8,1,0,0,0,0,0.8,0.31,-0.2,-0.21,6,16,37.5,19,3,47.4,36.4,7,100,63,14,1,7.1,0,0,3,1,0,73,1.23,3,2,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,29,1993,37,47,1,1,5,2,46.9,0.31,1.9,0.05,168,598,28.1,928,171,47.1,39.4,267,60.3,48.4,529,23,4.3,38,1.03,14.6,37,37,3330,1.27,150,104,69.3,8,14,15,13,35.1,2,1,0,50,0,0,0,0,0,2,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yehvann Diouf,FRA,GK,Reims,Ligue 1,23,1999,34,47,6,1,4,1,42.7,0.27,-3.3,-0.1,124,353,35.1,1135,179,25.2,30.1,157,42.7,36.9,522,38,7.3,46,1.35,14.2,34,34,3060,1.38,137,90,70.1,13,8,13,8,23.5,7,1,0,14.3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Marko Dmitrović,SRB,GK,Sevilla,La Liga,31,1992,13,25,2,0,3,1,22.6,0.3,-1.4,-0.11,52,148,35.1,314,70,32.5,32.7,79,58.2,45.9,152,11,7.2,15,1.15,15.4,13,13,1170,1.92,68,44,66.2,2,2,9,2,15.4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jaume Doménech,ESP,GK,Valencia,La Liga,32,1990,0.9,3,0,1,2,0,1.7,0.14,-1.3,-1.52,4,20,20,24,2,62.5,40.5,7,71.4,51.4,19,1,5.3,1,1.14,11.4,2,1,79,3.42,12,9,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
