Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls2,Ast3,G+A4,G-PK5,G+A-PK,xG6,xAG7,xG+xAG,npxG8,npxG+xAG9,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp2,Att3,Cmp%4,Cmp5,Att6,Cmp%7,Cmp8,Att9,Cmp%10,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive2,PassDead3,TO4,Sh5,Fld6,Def7,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl2,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off2,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
1,Max Aarons,ENG,RB,Bournemouth,Premier League,23,2000,20,13,1237,13.7,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.9,22,43,26,0.0,0.07,0.07,0.0,0.07,0.0,0.06,0.06,0.0,0.06,2,0,0.0,0.15,0.0,0.0,0.0,23.9,0,0.02,0.0,0.0,450,581,77.5,7402,2789,220,248,88.7,188,235,80.0,34,63,54.0,0.9,0.2,7,25,13,2,453,127,2,3,13,116,0,0,0,0,1,23,23,1.68,16,4,0,3,0,2,0.15,2,0,0,0,0,0,29,19,20,7,2,20,58.8,14,4,8,37,27,0,711,43,11,14,41.2,12,35.3,364,7,13,8,371,62,36.2,85,9,7,19,5,0.8,12,34,-22,-1.6,-1.97,14.2,27.1,-12.8,-0.94,-1.37,0,12,0,1,0,75,5,31.3
2,Brenden Aaronson,USA,AM,Union Berlin,Bundesliga,22,2000,30,14,1267,14.1,2,2,4,2,0,0,3,1,2.0,2.0,1.9,3.8,37,56,91,0.14,0.14,0.28,0.14,0.28,0.14,0.13,0.27,0.14,0.27,18,7,38.9,1.28,0.5,0.11,0.29,18.4,0,0.11,0.0,0.0,365,472,77.3,4890,1506,206,240,85.8,105,130,80.8,19,32,59.4,2.0,0.1,22,30,14,3,439,29,5,1,22,12,6,2,3,0,4,21,53,3.76,41,1,8,0,0,8,0.57,6,0,2,0,0,0,32,18,13,13,6,16,50.0,16,25,2,34,4,0,675,11,47,34,44.2,41,53.2,406,9,41,38,457,42,41.4,68,2,16,20,2,1.07,17,23,-6,-0.43,0.53,15.4,21.2,-5.9,-0.42,-0.19,1,15,0,0,0,88,13,44.8
3,Paxten Aaronson,USA,CM,Eint Frankfurt,Bundesliga,19,2003,7,1,101,1.1,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,2,5,7,0.0,0.89,0.89,0.0,0.89,0.11,0.07,0.19,0.11,0.19,2,2,100.0,1.78,1.78,0.0,0.0,15.1,0,0.06,-0.1,-0.1,41,50,82.0,576,71,20,25,80.0,20,22,90.9,0,2,0.0,0.1,0.9,1,4,2,0,48,2,0,0,0,1,0,0,0,0,0,0,1,0.89,1,0,0,0,0,1,0.89,1,0,0,0,0,0,2,2,1,1,0,1,100.0,0,2,0,2,0,0,72,0,5,2,28.6,4,57.1,43,1,5,4,46,14,3.3,45,0,6,9,7,0.86,2,2,0,0.0,-0.03,1.1,2.6,-1.5,-1.3,-1.16,0,6,0,0,0,5,3,100.0
5,Yunis Abdelhamid,MAR,CB,Reims,Ligue 1,35,1987,31,31,2781,30.9,4,0,4,3,1,1,5,0,3.4,2.6,0.3,2.9,36,137,9,0.13,0.0,0.13,0.1,0.1,0.11,0.01,0.12,0.09,0.09,21,7,33.3,0.68,0.23,0.14,0.43,15.0,0,0.13,0.6,0.4,1552,1836,84.5,29618,9672,487,548,88.9,893,976,91.5,141,252,56.0,0.6,-0.3,8,129,3,0,1650,178,2,13,3,29,0,0,0,0,8,20,24,0.78,19,1,0,1,0,1,0.03,0,0,0,1,0,0,64,35,36,23,5,26,57.8,19,19,39,103,109,2,2185,293,35,8,53.3,7,46.7,1506,0,23,4,1403,90,90.9,90,30,0,0,0,1.29,37,46,-9,-0.29,-1.58,39.2,43.7,-4.5,-0.14,-0.97,0,26,0,0,1,149,61,62.2
6,Salis Abdul Samed,GHA,DM,Lens,Ligue 1,23,2000,27,17,1519,16.9,0,0,0,0,0,0,2,0,0.8,0.8,0.5,1.3,9,78,20,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,5,0,0.0,0.3,0.0,0.0,0.0,21.6,0,0.17,-0.8,-0.8,796,895,88.9,12470,3008,393,433,90.8,330,360,91.7,41,54,75.9,1.1,-0.5,6,87,5,2,875,18,0,1,3,1,0,0,0,0,2,17,27,1.6,27,0,0,0,0,3,0.18,3,0,0,0,0,0,21,14,8,10,3,8,44.4,10,11,12,33,18,0,1022,21,7,7,36.8,11,57.9,823,0,23,11,780,56,49.6,81,11,10,15,4,1.74,20,18,2,0.12,-0.23,24.6,24.2,0.4,0.02,-0.39,0,34,0,3,0,89,2,22.2
7,Nabil Aberdin,FRA,CB,Getafe,La Liga,20,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,60,79,75.9,1159,426,22,26,84.6,29,34,85.3,7,17,41.2,0.0,0.0,0,4,0,0,75,4,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,4,0,87,4,1,0,0.0,0,0.0,47,0,1,1,54,90,5.3,90,2,0,0,3,0.0,1,3,-2,-1.0,-0.72,1.2,2.5,-1.3,-0.67,-0.48,0,1,0,0,0,10,4,40.0
8,Laurent Abergel,FRA,DM,Lorient,Ligue 1,30,1993,33,32,2860,31.8,2,1,3,2,0,0,4,0,1.1,1.1,2.2,3.3,38,194,51,0.06,0.03,0.09,0.06,0.09,0.04,0.07,0.1,0.04,0.1,26,11,42.3,0.82,0.35,0.08,0.18,26.5,0,0.04,0.9,0.9,1551,1836,84.5,27382,8613,629,707,89.0,711,802,88.7,150,233,64.4,1.9,-1.2,30,188,23,3,1743,88,6,13,34,14,0,0,0,0,5,25,81,2.55,67,3,2,2,6,5,0.16,3,0,1,0,0,1,85,52,43,34,8,38,39.6,58,23,61,146,61,3,2164,105,10,44,67.7,18,27.7,1649,3,32,30,1502,87,93.5,89,29,1,23,0,0.88,41,59,-18,-0.57,1.68,34.8,50.1,-15.3,-0.48,0.37,0,36,0,0,0,226,15,51.7
9,Matthis Abline,FRA,CF,Nantes,Ligue 1,20,2003,22,12,1044,11.6,5,0,5,5,0,0,1,0,3.8,3.8,2.0,5.8,28,20,87,0.43,0.0,0.43,0.43,0.43,0.33,0.17,0.5,0.33,0.5,42,19,45.2,3.62,1.64,0.12,0.26,17.4,0,0.09,1.2,1.2,162,231,70.1,2410,448,91,128,71.1,52,68,76.5,9,11,81.8,0.9,-2.0,17,6,7,2,218,12,2,1,7,1,0,0,0,0,1,11,38,3.28,30,0,5,1,0,2,0.17,0,0,1,0,1,0,9,4,4,3,2,3,37.5,5,3,3,12,5,0,386,9,65,19,57.6,14,42.4,294,14,50,14,287,47,34.1,72,1,10,18,5,0.95,11,17,-6,-0.52,0.33,14.9,15.5,-0.6,-0.05,0.61,0,10,1,0,0,39,15,35.7
10,Abner,BRA,LB,Betis,La Liga,23,2000,23,15,1400,15.6,0,1,1,0,0,0,3,0,0.1,0.1,1.0,1.1,14,33,58,0.0,0.06,0.06,0.0,0.06,0.01,0.06,0.07,0.01,0.07,4,0,0.0,0.26,0.0,0.0,0.0,15.4,0,0.03,-0.1,-0.1,615,797,77.2,9211,4552,351,394,89.1,203,265,76.6,37,79,46.8,1.0,0.0,8,20,7,2,628,165,0,3,26,158,0,0,0,0,4,23,14,0.9,13,0,0,0,0,0,0.0,0,0,0,0,0,0,25,19,15,9,1,17,50.0,17,18,15,40,62,0,966,72,28,7,53.8,5,38.5,447,5,18,11,502,61,40.9,82,12,8,22,10,1.61,20,20,0,0.0,-0.13,17.2,27.2,-9.9,-0.64,-0.8,0,16,0,1,0,79,14,58.3
11,Zakaria Aboukhlal,MAR,RW,Toulouse,Ligue 1,23,2000,13,9,754,8.4,3,0,3,2,1,1,2,0,2.8,2.0,0.2,2.2,23,20,75,0.36,0.0,0.36,0.24,0.24,0.33,0.02,0.36,0.24,0.26,27,7,25.9,3.22,0.84,0.07,0.29,18.7,0,0.07,0.2,0.0,140,196,71.4,2025,599,70,95,73.7,53,66,80.3,6,8,75.0,1.1,-0.2,5,10,9,1,185,11,0,0,5,9,0,0,0,0,0,7,20,2.39,10,0,2,3,2,2,0.24,0,0,0,1,1,0,9,8,1,5,3,3,25.0,9,8,1,10,2,0,305,1,38,8,25.8,22,71.0,233,8,22,12,229,58,24.6,74,1,4,21,0,1.54,11,10,1,0.12,0.31,8.1,13.4,-5.3,-0.64,-0.54,0,17,1,0,0,21,6,46.2
12,Abdel Abqar,MAR,CB,Alavés,La Liga,24,1999,27,27,2312,25.7,0,0,0,0,0,0,10,0,0.5,0.5,0.2,0.6,7,49,1,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,10,3,30.0,0.39,0.12,0.0,0.0,12.1,0,0.05,-0.5,-0.5,553,762,72.6,12370,4872,141,164,86.0,302,339,89.1,99,225,44.0,0.2,-0.2,3,61,2,0,704,55,0,17,2,4,0,0,0,0,3,10,12,0.47,9,0,0,1,0,0,0.0,0,0,0,0,0,0,35,19,28,5,2,21,60.0,14,5,23,58,115,0,1032,191,21,3,60.0,1,20.0,492,0,15,1,499,86,67.6,86,23,0,0,4,1.07,21,30,-9,-0.35,-0.27,27.0,30.7,-3.8,-0.15,-0.58,0,33,0,2,1,109,39,52.0
13,Tammy Abraham,ENG,CF,Roma,Serie A,25,1997,8,2,242,2.7,1,0,1,1,0,0,1,0,0.6,0.6,0.1,0.7,6,4,15,0.37,0.0,0.37,0.37,0.37,0.22,0.05,0.27,0.22,0.27,4,2,50.0,1.49,0.74,0.25,0.5,11.9,0,0.15,0.4,0.4,19,40,47.5,231,75,14,25,56.0,4,9,44.4,0,1,0.0,0.0,-0.1,3,1,1,0,37,2,0,0,2,0,0,0,0,0,1,1,3,1.12,1,0,0,1,1,1,0.37,0,0,0,0,1,0,3,1,0,1,2,0,0.0,0,1,0,3,4,0,69,4,9,2,33.3,4,66.7,37,2,9,2,53,30,7.1,60,0,6,20,1,1.38,4,4,0,0.0,-0.54,3.6,5.1,-1.5,-0.57,-0.89,0,6,1,0,0,1,6,54.5
14,Francesco Acerbi,ITA,CB,Inter,Serie A,35,1988,29,26,2388,26.5,3,1,4,3,0,0,1,0,1.6,1.6,1.8,3.4,21,87,24,0.11,0.04,0.15,0.11,0.15,0.06,0.07,0.13,0.06,0.13,15,6,40.0,0.57,0.23,0.2,0.5,12.0,0,0.11,1.4,1.4,1615,1781,90.7,29326,9174,601,650,92.5,856,908,94.3,132,179,73.7,1.3,-0.8,7,58,5,2,1719,60,0,11,9,8,0,0,0,0,2,5,22,0.83,19,0,0,0,0,1,0.04,1,0,0,0,0,0,22,13,16,6,0,11,78.6,3,7,32,54,77,1,1977,219,25,2,66.7,1,33.3,1211,0,4,1,1446,82,69.8,89,25,3,25,2,2.41,55,19,36,1.36,-1.35,52.2,23.3,28.9,1.09,-0.5,0,19,0,0,0,102,70,65.4
15,Joshua Acheampong,ENG,RB,Chelsea,Premier League,17,2006,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,2,50.0,18,7,0,0,0.0,1,1,100.0,0,1,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,15.0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,5,0,0,0.0,0,0.0,1,0,0,0,0,6,0.2,0,0,1,6,3,3.0,0,0,0,0.0,-0.37,0.0,0.6,-0.5,-7.7,-8.15,0,0,0,0,0,1,0,0.0
16,Marcos Acuña,ARG,LB,Sevilla,La Liga,31,1991,21,18,1292,14.4,1,2,3,1,0,0,7,0,0.3,0.3,1.5,1.8,23,59,42,0.07,0.14,0.21,0.07,0.21,0.02,0.11,0.13,0.02,0.13,9,4,44.4,0.63,0.28,0.11,0.25,27.9,0,0.03,0.7,0.7,628,847,74.1,12126,4928,260,297,87.5,262,328,79.9,94,183,51.4,2.1,0.5,23,52,19,12,672,173,1,11,82,122,19,7,12,0,2,16,49,3.42,28,15,3,2,1,4,0.28,1,3,0,0,0,0,33,21,20,12,1,9,64.3,5,10,4,37,25,0,984,33,10,10,47.6,8,38.1,473,4,20,16,546,62,37.8,69,5,3,19,2,1.14,20,21,-1,-0.07,0.14,17.1,21.9,-4.8,-0.34,-0.07,0,18,0,0,0,99,13,54.2
17,Akor Adams,NGA,CF,Montpellier,Ligue 1,23,2000,32,27,2252,25.0,8,1,9,8,0,0,2,0,12.4,12.4,1.9,14.3,40,17,127,0.32,0.04,0.36,0.32,0.36,0.5,0.07,0.57,0.5,0.57,79,32,40.5,3.16,1.28,0.1,0.25,14.5,0,0.16,-4.4,-4.4,250,385,64.9,3676,786,125,185,67.6,89,126,70.6,14,29,48.3,1.4,-0.9,17,14,4,2,375,10,2,1,12,1,0,0,0,0,0,20,43,1.72,29,0,5,1,0,3,0.12,0,0,2,1,0,0,12,4,3,4,5,3,42.9,4,7,5,17,11,0,638,17,118,14,31.8,26,59.1,442,22,68,30,472,70,73.6,80,10,5,21,1,1.22,29,32,-3,-0.12,0.1,32.6,35.3,-2.7,-0.11,0.13,0,39,0,0,0,55,54,43.9
18,Tyler Adams,USA,DM,Bournemouth,Premier League,24,1999,3,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,59,71,83.1,973,262,35,39,89.7,18,24,75.0,6,8,75.0,0.0,-0.1,1,9,0,0,67,4,0,1,1,1,0,0,0,0,0,0,3,2.25,2,1,0,0,0,0,0.0,0,0,0,0,0,0,4,3,1,3,0,2,66.7,1,2,4,8,2,0,91,3,4,2,66.7,0,0.0,44,2,3,0,52,40,3.5,90,1,2,16,2,2.0,4,3,1,0.74,1.13,2.1,1.5,0.6,0.43,0.51,0,0,0,0,0,7,2,40.0
19,Junior Adamu,AUT,CF,Freiburg,Bundesliga,22,2001,15,0,105,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,1,5,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.16,0.05,0.16,2,1,50.0,1.71,0.86,0.0,0.0,12.1,0,0.03,-0.1,-0.1,18,30,60.0,181,36,15,17,88.2,1,9,11.1,0,1,0.0,0.0,-0.1,1,0,1,0,29,1,0,0,1,0,0,0,0,0,0,0,2,1.73,1,0,0,1,0,0,0.0,0,0,0,0,0,0,5,1,1,2,2,1,50.0,1,1,0,5,2,0,54,2,6,0,0.0,2,66.7,29,0,5,5,33,7,3.4,0,0,15,7,13,1.47,1,5,-4,-3.43,-3.15,0.9,3.4,-2.5,-2.17,-2.22,0,7,0,0,0,10,5,45.5
20,Sargis Adamyan,ARM,CF,Köln,Bundesliga,30,1993,20,8,801,8.9,1,2,3,1,0,0,2,0,4.1,4.1,2.0,6.1,15,18,42,0.11,0.22,0.34,0.11,0.34,0.46,0.23,0.69,0.46,0.69,31,13,41.9,3.48,1.46,0.03,0.08,12.4,0,0.13,-3.1,-3.1,132,189,69.8,1883,483,73,94,77.7,44,64,68.8,5,9,55.6,1.1,0.0,12,16,3,0,166,22,0,2,4,2,0,0,0,0,1,6,31,3.48,22,0,1,6,1,3,0.34,1,0,0,1,1,0,14,9,2,9,3,6,54.5,5,15,5,19,7,0,312,8,52,7,38.9,10,55.6,162,5,27,17,183,40,26.2,73,1,12,18,5,0.8,9,21,-12,-1.35,-0.55,11.8,16.5,-4.6,-0.52,0.31,0,18,1,0,0,30,14,27.5
21,Tosin Adarabioyo,ENG,CB,Fulham,Premier League,25,1997,20,18,1617,18.0,2,0,2,2,0,0,2,0,0.7,0.7,0.1,0.8,10,62,5,0.11,0.0,0.11,0.11,0.11,0.04,0.01,0.05,0.04,0.05,14,5,35.7,0.78,0.28,0.14,0.4,14.2,0,0.05,1.3,1.3,1028,1216,84.5,21010,7956,277,307,90.2,627,699,89.7,115,177,65.0,0.3,-0.1,2,47,2,0,1181,33,1,9,1,2,0,0,0,0,2,8,10,0.56,6,0,0,0,0,0,0.0,0,0,0,0,0,0,21,11,16,5,0,12,57.1,9,5,25,46,80,0,1390,181,29,1,33.3,0,0.0,817,1,4,4,1009,81,47.3,90,17,2,2,2,1.4,28,25,3,0.17,0.62,27.6,28.0,-0.5,-0.03,0.56,0,10,0,0,0,43,56,66.7
22,Elijah Adebayo,ENG,CF,Luton Town,Premier League,25,1998,27,16,1419,15.8,10,0,10,10,0,0,1,0,5.9,5.9,0.7,6.6,16,23,110,0.63,0.0,0.63,0.63,0.63,0.37,0.04,0.42,0.37,0.42,31,14,45.2,1.97,0.89,0.32,0.71,9.6,0,0.19,4.1,4.1,144,204,70.6,1847,385,94,122,77.0,41,60,68.3,3,6,50.0,0.4,-0.7,14,9,4,0,202,1,1,0,5,1,0,0,0,0,1,5,31,1.97,19,0,5,2,0,5,0.32,2,0,0,3,0,0,4,1,1,0,3,1,8.3,11,11,6,10,25,0,462,27,82,18,26.9,46,68.7,265,13,62,34,337,53,41.5,77,5,11,16,0,0.78,30,36,-6,-0.38,0.83,22.2,28.4,-6.3,-0.4,0.92,0,27,0,0,0,34,43,50.0
23,Karim Adeyemi,GER,RW,Dortmund,Bundesliga,21,2002,21,10,913,10.1,3,1,4,3,0,0,6,1,3.5,3.5,2.0,5.5,52,26,96,0.3,0.1,0.39,0.3,0.39,0.34,0.2,0.54,0.34,0.54,23,10,43.5,2.27,0.99,0.13,0.3,14.6,0,0.15,-0.5,-0.5,218,299,72.9,2929,719,135,162,83.3,61,83,73.5,8,18,44.4,1.6,-1.0,9,9,10,1,280,19,0,1,25,11,4,1,2,0,0,16,25,2.46,13,1,3,6,0,2,0.2,2,0,0,0,0,0,16,14,9,4,3,8,40.0,12,11,3,19,5,0,458,10,63,18,30.0,32,53.3,310,27,29,25,318,43,29.8,64,1,11,25,3,1.76,19,15,4,0.39,-0.49,18.4,17.1,1.2,0.12,-0.31,1,20,0,0,0,60,14,60.9
24,Simon Adingra,CIV,LW,Brighton,Premier League,21,2002,31,25,2222,24.7,6,1,7,6,0,0,3,0,4.3,4.3,3.7,8.0,111,50,278,0.24,0.04,0.28,0.24,0.28,0.17,0.15,0.32,0.17,0.32,52,22,42.3,2.11,0.89,0.12,0.27,15.9,0,0.08,1.7,1.7,634,840,75.5,8828,1713,412,491,83.9,185,245,75.5,20,38,52.6,3.5,-2.7,33,17,33,11,815,23,7,2,76,15,5,0,1,0,2,29,77,3.12,51,1,13,3,2,4,0.16,3,0,0,0,0,1,45,20,23,11,11,19,45.2,23,30,19,64,22,0,1159,36,153,50,40.7,64,52.0,773,63,48,28,795,72,65.0,83,10,6,26,1,1.19,34,38,-4,-0.16,0.06,33.9,35.9,-2.0,-0.08,-0.34,0,29,1,0,0,118,8,40.0
25,Nathaniel Adjei,GHA,CB,Lorient,Ligue 1,20,2002,15,14,1243,13.8,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,10,34,4,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,4,0,0.0,0.29,0.0,0.0,0.0,8.3,0,0.09,-0.4,-0.4,578,669,86.4,10635,4097,216,246,87.8,294,323,91.0,52,73,71.2,0.5,-0.1,3,38,1,0,628,40,0,3,2,11,0,0,0,0,1,5,11,0.8,8,0,0,1,2,0,0.0,0,0,0,0,0,0,13,9,8,3,2,6,85.7,1,7,18,31,64,1,811,94,10,4,80.0,1,20.0,554,0,12,5,511,83,40.6,88,13,1,12,0,0.93,15,27,-12,-0.87,-0.32,15.9,23.5,-7.6,-0.55,-0.08,0,10,0,0,0,60,30,57.7
26,Amine Adli,MAR,LW,Leverkusen,Bundesliga,23,2000,23,8,898,10.0,4,6,10,4,0,0,5,0,3.3,3.3,2.3,5.6,32,39,131,0.4,0.6,1.0,0.4,1.0,0.33,0.23,0.56,0.33,0.56,27,15,55.6,2.71,1.5,0.15,0.27,13.7,0,0.12,0.7,0.7,367,459,80.0,4683,1110,252,291,86.6,91,110,82.7,7,18,38.9,2.9,3.7,21,19,18,3,447,11,2,1,23,7,0,0,0,0,1,10,52,5.22,39,0,6,4,0,9,0.9,5,0,2,1,1,0,16,7,2,10,4,7,41.2,10,8,6,22,5,0,575,7,66,13,48.1,10,37.0,339,16,17,10,460,39,29.3,71,1,15,22,4,2.65,28,9,19,1.9,-0.01,24.2,10.4,13.8,1.39,0.14,0,14,0,0,0,36,21,48.8
27,Yacine Adli,FRA,DM,Milan,Serie A,23,2000,24,17,1407,15.6,1,2,3,1,0,0,3,0,0.3,0.3,2.2,2.5,30,125,26,0.06,0.13,0.19,0.06,0.19,0.02,0.14,0.16,0.02,0.16,4,1,25.0,0.26,0.06,0.25,1.0,19.8,0,0.07,0.7,0.7,1125,1300,86.5,20142,6752,489,534,91.6,487,534,91.2,120,177,67.8,2.0,-0.2,22,149,16,6,1220,78,3,16,50,7,35,11,12,0,2,14,62,3.97,41,18,3,0,0,8,0.51,4,3,1,0,0,0,34,17,17,13,4,13,37.1,22,14,20,54,15,1,1439,38,8,22,68.8,8,25.0,873,3,18,10,1053,59,41.1,74,6,7,21,14,1.88,25,22,3,0.19,-0.88,23.3,17.7,5.6,0.36,-0.32,0,26,0,1,0,94,15,60.0
28,Adryelson,BRA,CB,Lyon,Ligue 1,25,1998,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5,5,100.0,75,28,3,3,100.0,2,2,100.0,0,0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,3,0,9,2,0,0,0.0,0,0.0,5,0,0,0,5,3,0.2,0,0,2,3,12,1.5,0,0,0,0.0,0.18,0.0,0.0,0.0,0.0,0.07,0,0,0,0,0,0,0,0.0
29,Adson,BRA,RW,Nantes,Ligue 1,22,2000,8,2,238,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,18,15,19,0.0,0.0,0.0,0.0,0.0,0.09,0.04,0.13,0.09,0.13,5,0,0.0,1.89,0.0,0.0,0.0,17.9,0,0.05,-0.2,-0.2,115,130,88.5,1750,378,61,64,95.3,40,46,87.0,8,10,80.0,0.3,-0.1,3,11,4,0,128,2,0,0,2,2,0,0,0,0,0,2,9,3.4,8,0,1,0,0,0,0.0,0,0,0,0,0,0,7,6,1,6,0,2,100.0,0,5,2,9,2,0,163,0,10,5,62.5,3,37.5,137,4,4,4,127,30,7.8,61,0,6,20,0,1.0,2,6,-4,-1.51,-0.84,3.3,5.4,-2.1,-0.79,-0.37,0,4,0,0,0,11,0,0.0
30,Michel Aebischer,SUI,CM,Bologna,Serie A,26,1997,36,26,2230,24.8,0,1,1,0,0,0,8,0,1.1,1.1,1.5,2.6,26,125,55,0.0,0.04,0.04,0.0,0.04,0.04,0.06,0.11,0.04,0.11,18,5,27.8,0.73,0.2,0.0,0.0,22.4,0,0.06,-1.1,-1.1,1370,1503,91.2,21535,5798,729,773,94.3,525,562,93.4,79,103,76.7,1.0,-0.5,17,117,9,1,1447,53,3,5,12,13,6,3,0,0,3,17,40,1.61,32,2,2,2,0,1,0.04,1,0,0,0,0,0,35,20,9,20,6,15,44.1,19,22,12,47,22,0,1694,51,23,14,56.0,9,36.0,1040,3,27,19,1308,62,65.2,79,13,10,17,1,1.81,29,20,9,0.36,-0.62,27.6,23.8,3.7,0.15,-0.39,0,37,0,0,0,135,11,40.7
31,Emmanuel Agbadou,CIV,CB,Reims,Ligue 1,26,1997,32,29,2596,28.8,1,1,2,1,0,0,1,0,2.4,2.4,1.5,3.8,42,179,19,0.03,0.03,0.07,0.03,0.07,0.08,0.05,0.13,0.08,0.13,32,5,15.6,1.11,0.17,0.03,0.2,15.1,0,0.07,-1.4,-1.4,1599,1838,87.0,32774,10984,476,525,90.7,855,926,92.3,240,343,70.0,1.6,-0.5,12,172,5,1,1728,106,5,11,6,48,0,0,0,0,4,11,47,1.63,43,0,0,0,0,1,0.03,1,0,0,0,0,0,65,41,38,23,4,44,68.8,20,22,55,120,116,1,2198,237,32,15,48.4,16,51.6,1582,2,24,23,1405,81,84.8,89,27,3,8,1,1.47,36,39,-3,-0.1,0.28,38.8,40.9,-2.0,-0.07,-0.1,0,31,0,3,0,217,45,58.4
32,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,22,2000,4,2,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,67,100,67.0,1906,1648,19,19,100.0,27,27,100.0,21,53,39.6,0.0,0.0,0,2,0,0,72,28,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,104,84,0,0,0.0,0,0.0,58,0,0,0,42,60,7.0,90,2,2,29,34,1.5,3,4,-1,-0.38,-1.09,2.6,2.8,-0.2,-0.08,-0.41,0,0,0,0,0,6,1,100.0
33,Lucien Agoume,FRA,DM,Inter,Serie A,21,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5,5,100.0,75,7,3,3,100.0,2,2,100.0,0,0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,0,0,0,0.0,1,100.0,2,0,0,0,4,5,0.1,0,0,1,5,16,3.0,1,0,1,18.0,16.26,0.3,0.0,0.3,5.27,4.04,0,0,0,0,0,0,1,100.0
