Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls2,Ast3,G+A4,G-PK5,G+A-PK,xG6,xAG7,xG+xAG,npxG8,npxG+xAG9,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp2,Att3,Cmp%4,Cmp5,Att6,Cmp%7,Cmp8,Att9,Cmp%10,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive2,PassDead3,TO4,Sh5,Fld6,Def7,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl2,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off2,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
853,Felipe,BRA,CB,Nott'ham Forest,Premier League,34,1989,7,4,375,4.2,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,1,6,0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,3,0,0.0,0.72,0.0,0.0,0.0,16.6,0,0.04,-0.1,-0.1,183,215,85.1,3654,1412,61,70,87.1,97,105,92.4,21,33,63.6,0.0,-0.1,2,10,0,0,206,8,0,1,0,1,0,0,0,0,1,1,4,0.97,2,0,0,0,1,0,0.0,0,0,0,0,0,0,12,9,9,3,0,9,75.0,3,3,4,16,12,0,257,22,4,1,50.0,1,50.0,147,0,3,1,156,54,11.0,75,2,3,25,5,0.75,4,11,-7,-1.68,-1.35,5.7,6.3,-0.6,-0.14,-0.06,0,10,0,0,0,20,14,70.0
854,Luiz Felipe,ITA,CB,Betis,La Liga,26,1997,4,4,360,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,0,4,0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.07,0.02,0.07,2,0,0.0,0.5,0.0,0.0,0.0,10.8,0,0.03,-0.1,-0.1,151,169,89.3,2591,996,59,62,95.2,78,86,90.7,9,14,64.3,0.2,-0.2,1,4,0,0,163,4,0,0,0,0,0,0,0,0,2,0,2,0.5,2,0,0,0,0,0,0.0,0,0,0,0,0,0,7,3,5,2,0,4,80.0,1,6,4,11,16,0,209,36,3,0,0.0,0,0.0,106,0,1,0,129,90,10.5,90,4,0,0,0,1.75,5,5,0,0.0,-0.09,3.3,5.8,-2.5,-0.63,-0.52,0,2,0,0,0,23,2,25.0
855,João Félix,POR,SS,Barcelona,La Liga,23,1999,30,18,1540,17.1,7,3,10,7,0,0,3,0,8.7,8.7,3.1,11.9,69,68,169,0.41,0.18,0.58,0.41,0.58,0.51,0.18,0.69,0.51,0.69,61,25,41.0,3.56,1.46,0.11,0.28,15.8,1,0.14,-1.7,-1.7,538,663,81.1,7329,1372,355,392,90.6,138,173,79.8,22,46,47.8,2.6,-0.1,19,31,20,1,631,25,8,7,17,12,8,4,0,0,7,13,62,3.62,43,0,7,2,1,9,0.53,4,0,2,3,0,0,22,16,9,7,6,8,36.4,14,13,10,32,11,0,929,15,104,29,32.6,51,57.3,613,31,43,32,766,51,45.0,71,3,12,22,1,2.17,34,16,18,1.05,0.24,35.6,16.8,18.8,1.1,0.28,0,21,0,0,0,68,8,50.0
856,Ohis Felix Uduokhai,GER,CB,Augsburg,Bundesliga,25,1997,33,33,2921,32.5,2,0,2,2,0,0,5,1,1.4,1.4,0.8,2.2,25,101,6,0.06,0.0,0.06,0.06,0.06,0.04,0.02,0.07,0.04,0.07,13,3,23.1,0.4,0.09,0.15,0.67,9.2,0,0.11,0.6,0.6,1349,1658,81.4,25826,9681,477,549,86.9,725,815,89.0,132,261,50.6,1.3,-0.8,9,93,5,0,1562,91,0,11,3,4,0,0,0,0,5,6,20,0.62,12,2,0,1,3,0,0.0,0,0,0,0,0,0,37,21,18,14,5,16,64.0,9,10,46,83,178,2,2036,299,53,6,85.7,1,14.3,1077,1,17,7,1202,89,95.5,89,31,0,0,0,1.15,49,59,-10,-0.31,-0.31,42.2,54.9,-12.7,-0.39,-1.29,1,29,1,0,1,150,111,62.0
857,Kiko Femenía,ESP,RB,Villarreal,La Liga,32,1991,23,16,1583,17.6,0,0,0,0,0,0,8,1,0.0,0.0,0.6,0.6,46,100,45,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,1,0,0.0,0.06,0.0,0.0,0.0,51.1,1,0.01,0.0,0.0,939,1121,83.8,15374,5968,468,497,94.2,403,467,86.3,58,120,48.3,0.7,-0.6,7,84,6,3,939,179,0,4,28,153,0,0,0,0,3,19,31,1.76,26,4,0,0,1,4,0.23,3,1,0,0,0,0,35,25,19,13,3,19,55.9,15,15,31,66,45,0,1275,62,9,6,54.5,5,45.5,627,1,18,5,743,69,46.3,88,12,7,25,13,1.52,31,19,12,0.68,1.27,26.5,23.4,3.2,0.18,0.49,1,25,0,1,0,106,10,47.6
858,Evan Ferguson,IRL,CF,Brighton,Premier League,18,2004,27,15,1367,15.2,6,0,6,6,0,0,1,0,4.6,4.6,0.5,5.1,13,15,62,0.4,0.0,0.4,0.4,0.4,0.3,0.04,0.34,0.3,0.34,33,20,60.6,2.17,1.32,0.18,0.3,15.5,0,0.14,1.4,1.4,244,303,80.5,3028,349,156,180,86.7,54,63,85.7,11,15,73.3,0.8,-0.5,6,11,4,0,269,32,1,0,1,0,0,0,0,0,2,13,22,1.45,15,0,2,3,1,1,0.07,0,0,0,0,1,0,14,6,4,7,3,5,35.7,9,7,2,16,8,0,448,13,45,7,43.8,6,37.5,286,5,40,31,336,51,40.0,71,4,12,25,1,1.48,24,28,-4,-0.26,-0.13,21.5,21.1,0.4,0.02,-0.02,0,24,1,0,0,25,13,41.9
859,Lewis Ferguson,SCO,AM,Bologna,Serie A,23,1999,31,31,2712,30.1,6,3,9,6,0,0,8,0,5.4,5.4,2.3,7.7,57,142,138,0.2,0.1,0.3,0.2,0.3,0.18,0.08,0.26,0.18,0.26,60,20,33.3,1.99,0.66,0.1,0.3,16.0,0,0.09,0.6,0.6,1571,1778,88.4,22609,4517,931,1007,92.5,518,565,91.7,61,85,71.8,2.7,0.7,32,145,25,3,1740,34,7,9,11,17,1,0,0,0,4,37,83,2.75,67,2,2,6,1,9,0.3,6,0,1,0,2,0,37,21,16,17,4,16,43.2,21,17,17,54,27,1,2043,54,82,14,41.2,15,44.1,1213,13,22,22,1646,87,79.3,87,25,0,0,0,1.87,41,24,17,0.56,-0.07,37.6,28.9,8.8,0.29,0.02,0,52,1,1,0,142,34,45.9
860,Bruno Fernandes,POR,AM,Manchester Utd,Premier League,28,1994,35,35,3118,34.6,10,8,18,6,4,5,9,0,10.0,6.1,11.8,17.8,86,297,182,0.29,0.23,0.52,0.17,0.4,0.29,0.34,0.63,0.18,0.51,90,35,38.9,2.6,1.01,0.07,0.17,22.8,11,0.07,0.0,-0.1,1590,2179,73.0,28404,10273,766,876,87.4,532,698,76.2,229,432,53.0,10.2,-3.8,114,187,89,10,1872,284,30,22,223,22,151,46,55,8,23,62,210,6.06,143,48,7,1,2,19,0.55,12,3,2,2,0,0,68,38,27,25,16,30,34.1,58,43,27,95,50,2,2585,96,105,19,43.2,21,47.7,1367,23,48,35,1715,89,91.2,89,33,0,0,0,1.69,55,52,3,0.09,1.28,53.8,63.3,-9.5,-0.27,0.61,0,41,0,0,0,200,21,45.7
861,Edimilson Fernandes,SUI,DM,Mainz 05,Bundesliga,27,1996,21,13,1290,14.3,0,2,2,0,0,0,4,0,0.5,0.5,0.7,1.3,9,53,9,0.0,0.14,0.14,0.0,0.14,0.04,0.05,0.09,0.04,0.09,15,0,0.0,1.05,0.0,0.0,0.0,26.8,3,0.03,-0.5,-0.5,615,801,76.8,12814,5042,214,242,88.4,295,335,88.1,98,200,49.0,1.9,1.3,18,54,11,3,705,90,2,10,53,18,28,15,9,1,6,9,35,2.44,15,15,1,0,1,2,0.14,1,1,0,0,0,0,25,16,15,9,1,16,66.7,8,8,22,47,52,0,951,98,4,6,75.0,2,25.0,483,1,6,5,532,61,42.2,87,10,8,20,5,1.0,18,32,-14,-0.98,-1.08,16.7,23.4,-6.8,-0.47,-0.83,0,10,0,0,0,88,19,50.0
862,Aitor Fernández,ESP,GK,Osasuna,La Liga,32,1991,7,6,551,6.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,127,198,64.1,4462,3696,10,10,100.0,48,49,98.0,69,137,50.4,0.0,0.0,0,10,0,0,147,49,0,0,0,0,0,0,0,0,2,0,1,0.16,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,5,1,216,156,1,0,0.0,0,0.0,112,0,0,0,95,79,16.1,90,6,1,11,30,0.63,6,13,-7,-1.14,-1.02,6.1,9.5,-3.4,-0.55,-0.36,0,0,0,0,0,11,0,0.0
